wl,n
5.7355,1.23791
5.7610,1.35093
5.7867,1.53866
5.8127,1.65974
5.8389,1.65328
5.8653,1.59795
5.8919,1.55603
5.9188,1.53346
5.9460,1.51987
5.9734,1.50926
6.0011,1.50118
6.0290,1.49435
6.0571,1.48764
6.0856,1.48253
6.1143,1.47884
6.1433,1.47491
6.1725,1.47097
6.2020,1.46765
6.2319,1.46643
6.2620,1.46464
6.2924,1.46087
6.3231,1.45796
6.3541,1.45577
6.3854,1.45217
6.4170,1.44854
6.4489,1.44671
6.4811,1.44350
6.5137,1.43762
6.5466,1.43310
6.5798,1.42853
6.6134,1.42137
6.6473,1.40897
6.6816,1.39643
6.7162,1.40042
6.7512,1.41623
6.7865,1.42566
6.8223,1.42389
6.8583,1.42504
6.8948,1.44056
6.9317,1.46227
6.9690,1.48677
7.0066,1.50018
7.0447,1.48902
7.0832,1.46778
7.1221,1.45338
7.1615,1.44778
7.2013,1.45226
7.2415,1.45885
7.2822,1.45727
7.3233,1.45180
7.3649,1.44754
7.4070,1.44133
7.4496,1.43513
7.4926,1.42887
7.5362,1.42116
7.5803,1.41302
7.6249,1.40311
7.6700,1.39055
7.7156,1.37736
7.7618,1.36279
7.8086,1.35600
7.8559,1.37251
7.9038,1.39429
7.9523,1.39654
8.0014,1.40200
8.0511,1.43148
8.1014,1.46033
8.1524,1.45648
8.2040,1.42126
8.2562,1.37501
8.3091,1.35250
8.3628,1.38616
8.4171,1.43783
8.4721,1.45665
8.5278,1.45144
8.5843,1.44384
8.6415,1.47054
8.6995,1.57107
8.7583,1.67665
8.8179,1.70700
8.8783,1.68709
8.9395,1.65965
9.0016,1.63459
9.0645,1.61331
9.1284,1.59709
9.1931,1.58466
9.2588,1.57410
9.3254,1.56724
9.3930,1.56906
9.4615,1.57283
9.5311,1.56655
9.6017,1.55438
9.6733,1.54294
9.7461,1.53260
9.8199,1.52114
9.8949,1.50686
9.9710,1.49485
10.048,1.49934
10.127,1.51852
10.207,1.53300
10.288,1.53879
10.370,1.54718
10.453,1.55249
10.538,1.54965
10.625,1.54551
10.713,1.53902
10.802,1.53022
10.893,1.52592
10.985,1.52978
11.079,1.53260
11.174,1.52964
11.272,1.52531
11.370,1.52193
11.471,1.51569
11.573,1.50969
11.678,1.50613
11.784,1.50876
11.892,1.52141
12.002,1.52918
12.114,1.52647
12.229,1.52535
12.345,1.52615
12.464,1.52350
12.585,1.51869
12.708,1.51532
12.834,1.51185
12.962,1.50600
13.093,1.49932
13.227,1.50733
13.363,1.53088
13.502,1.53954
13.645,1.53447
13.790,1.52827
13.938,1.52298
14.089,1.51655
14.244,1.51365
14.403,1.51198
14.564,1.51279
14.730,1.51337
14.899,1.50928
15.072,1.50338
15.250,1.50371
15.431,1.50493
15.617,1.50679
15.808,1.50412
16.003,1.50092
16.203,1.50140
16.408,1.49947
16.618,1.49804
16.834,1.49835
17.056,1.49799
17.283,1.49701
17.517,1.49557
17.757,1.49060
18.003,1.48890
18.257,1.49211
18.518,1.49241
18.786,1.48941
19.062,1.48351
19.347,1.48194
19.640,1.48424
19.942,1.48253

wl,k
0.40,3.82E-07
0.41,2.39E-07
0.42,2.24E-07
0.43,2.18E-07
0.44,2.05E-07
0.45,2.24E-07
0.46,2.13E-07
0.47,1.97E-07
0.48,2.23E-07
0.49,2.14E-07
0.50,2.24E-07
0.51,2.16E-07
0.52,2.17E-07
0.53,2.18E-07
0.54,2.21E-07
0.55,2.28E-07
0.56,2.25E-07
0.57,2.33E-07
0.58,2.37E-07
0.59,2.29E-07
0.60,2.76E-07
0.61,2.65E-07
0.62,2.56E-07
0.63,2.60E-07
0.64,2.67E-07
0.65,2.56E-07
0.66,2.48E-07
0.67,2.32E-07
0.68,2.30E-07
0.69,2.44E-07
0.70,2.63E-07
0.71,2.57E-07
0.72,2.95E-07
0.73,2.91E-07
0.74,2.78E-07
0.75,2.67E-07
0.76,2.54E-07
0.77,2.13E-07
0.78,2.83E-07
0.79,2.76E-07
0.80,2.68E-07
0.81,2.56E-07
0.82,2.78E-07
0.83,3.08E-07
0.84,2.48E-07
0.85,2.72E-07
0.86,3.12E-07
0.87,3.78E-07
0.88,4.35E-07
0.89,5.54E-07
0.90,9.13E-07
0.91,3.98E-07
0.92,9.99E-07
0.93,8.66E-07
0.94,7.05E-07
0.95,7.65E-07
0.96,5.37E-07
0.97,6.85E-07
0.98,1.02E-06
0.99,7.44E-07
1.00,7.26E-07
1.01,1.05E-06
1.02,1.06E-06
1.03,1.52E-06
1.04,1.56E-06
1.05,1.32E-06
1.06,1.23E-06
1.07,1.28E-06
1.08,1.28E-06
1.09,1.20E-06
1.10,1.45E-06
1.11,1.84E-06
1.12,2.38E-06
1.13,3.63E-06
1.14,4.84E-06
1.15,6.04E-06
1.16,7.99E-06
1.17,9.59E-06
1.18,9.31E-06
1.19,6.56E-06
1.20,3.67E-06
1.21,3.34E-06
1.22,2.49E-06
1.23,2.26E-06
1.24,2.07E-06
1.25,1.91E-06
1.26,1.64E-06
1.27,1.88E-06
1.28,1.85E-06
1.29,1.83E-06
1.30,1.87E-06
1.31,1.97E-06
1.32,2.26E-06
1.33,3.20E-06
1.34,7.24E-06
1.35,1.02E-05
1.36,1.12E-05
1.37,1.24E-05
1.38,1.33E-05
1.39,1.34E-05
1.40,1.19E-05
1.41,1.14E-05
1.42,1.20E-05
1.43,1.15E-05
1.44,1.01E-05
1.45,7.80E-06
1.46,6.17E-06
1.47,5.46E-06
1.48,3.65E-06
1.49,4.60E-06
1.50,4.04E-06
1.51,3.75E-06
1.52,3.49E-06
1.53,3.49E-06
1.54,3.42E-06
1.55,3.65E-06
1.56,3.95E-06
1.57,4.36E-06
1.58,4.75E-06
1.59,5.26E-06
1.60,5.93E-06
1.61,6.99E-06
1.62,9.07E-06
1.63,1.04E-05
1.64,1.24E-05
1.65,1.93E-05
1.66,4.28E-05
1.67,6.48E-05
1.68,8.91E-05
1.69,6.59E-05
1.70,6.89E-05
1.71,6.55E-05
1.72,6.68E-05
1.73,6.00E-05
1.74,5.18E-05
1.75,4.29E-05
1.76,3.50E-05
1.77,3.23E-05
1.78,3.50E-05
1.79,3.25E-05
1.80,2.71E-05
1.81,2.29E-05
1.82,2.12E-05
1.83,2.10E-05
1.84,2.14E-05
1.85,2.33E-05
1.86,2.52E-05
1.87,2.38E-05
1.88,2.58E-05
1.89,3.65E-05
1.90,6.02E-05
1.91,6.83E-05
1.92,4.59E-05
1.93,3.43E-05
1.94,3.62E-05
1.95,3.92E-05
1.96,3.06E-05
1.97,2.45E-05
1.98,2.27E-05
1.99,2.26E-05
2.00,2.31E-05
2.0097,2.20E-05
2.0190,2.25E-05
2.0285,2.31E-05
2.0381,2.39E-05
2.0478,2.47E-05
2.0575,2.59E-05
2.0673,2.66E-05
2.0773,2.84E-05
2.0873,3.32E-05
2.0975,3.41E-05
2.1077,4.10E-05
2.1180,4.94E-05
2.1285,5.10E-05
2.1390,5.49E-05
2.1496,5.44E-05
2.1568,5.22E-05
2.1676,5.33E-05
2.1785,5.42E-05
2.1896,6.12E-05
2.1970,7.39E-05
2.2082,9.33E-05
2.2196,7.96E-04
2.2272,5.84E-04
2.2387,9.36E-05
2.2465,9.00E-05
2.2582,4.64E-04
2.2661,2.28E-04
2.2781,4.42E-04
2.2861,1.21E-03
2.2983,1.29E-03
2.3065,1.11E-03
2.3188,1.84E-03
2.3272,1.75E-03
2.3398,6.38E-04
2.3482,6.77E-04
2.3568,1.37E-03
2.3697,2.37E-03
2.3784,1.37E-03
2.3872,7.30E-04
2.3960,7.14E-04
2.4093,1.95E-03
2.4183,2.38E-03
2.4274,2.02E-03
2.4365,1.30E-03
2.4457,1.40E-03
2.4596,2.16E-03
2.4690,2.02E-03
2.4784,1.68E-03
2.4880,1.61E-03
2.4975,1.83E-03
2.5072,2.32E-03
2.5169,3.29E-03
2.5268,2.75E-03
2.5366,8.88E-04
2.5466,1.04E-03
2.5567,1.72E-03
2.5668,1.09E-03
2.5770,8.07E-04
2.5873,8.91E-04
2.5976,5.26E-04
2.6081,6.10E-04
2.6186,8.34E-04
2.6293,1.61E-03
